ID,Address,Area,PostCode
150087,Momota," House 165/A"," Malibagh Bazar Road",Malibagh,1217
150088,"Nehar Cottage"," House 165/K"," Malibagh Bazar Road",Malibagh,1217
150094,"Jakir Hossain"," House 159/1"," Malibagh Bazar Road",Malibagh,1217
150099,N/A," House N/A"," Malibagh College Road",Malibagh,1217
150104,"Sel Chadan"," House 158"," Malibagh College Road",Malibagh,1217
150106,"Sel Chandan"," House 158/1"," Malibagh College Road",Malibagh,1217
150109,N/A," House N/A"," Malibagh College Road",Malibagh,1217
150112,Bivabory," House 156"," Malibagh College Road",Malibagh,1217
150115,"Peace Home"," House N/A"," Malibagh College Road",Malibagh,1217
150116,"Gazi Villa"," House 155"," Malibagh College Road",Malibagh,1217
150124,IHRC," House 222/Kha "," Malibagh Pabna Colony  ",Malibagh,1217
150125,N/A," House 222/Gha"," Malibagh Pabna Colony  ",Malibagh,1217
150126,"Malibagh Central Jame Masjid"," House 193"," Malibagh Pabna Colony  ",Malibagh,1217
150127,"Newaz Palace"," House N/A"," Malibagh Pabna Colony  ",Malibagh,1217
150128,Nasima," House N/A"," Malibagh Pabna Colony  ",Malibagh,1217
150129,Resehcy," House 422"," Malibagh Pabna Colony  ",Malibagh,1217
150130,"The Homeo Cure"," House 422/3"," Malibagh Pabna Colony  ",Malibagh,1217
150131,Camelia," House 422/2"," Malibagh Pabna Colony  ",Malibagh,1217
150132,"Pabna Colony Gate 2"," House 222/11"," Malibagh Pabna Colony Road",Malibagh,1217
150133,"Pabna Colony Gate 2"," House 222/15"," Malibagh Pabna Colony Road",Malibagh,1217
150134,"Pabna Colony Gate 2"," House 222/13"," Malibagh Pabna Colony Road",Malibagh,1217
150188,"Shamiz General Store"," House 222/2"," Malibagh Pabna Colony Road",Malibagh,1217
150190,"Alif Kinder Garden"," House N/A"," Malibagh Pabna Colony Road",Malibagh,1217
150193,"Pabna Colony Gate 1"," House 222/6"," Malibagh Pabna Colony Road",Malibagh,1217
150194,"Pabna Colony Gate 1"," House 222/7"," Malibagh Pabna Colony Road",Malibagh,1217
150196,"Pabna Colony Gate 1"," House 222/8"," Malibagh Pabna Colony Road",Malibagh,1217
150197,"Pabna Colony Gate 1"," House 222/9"," Malibagh Pabna Colony Road",Malibagh,1217
150200,"Pabna Colony Gate 1"," House 222/10"," Malibagh Pabna Colony Road",Malibagh,1217
150201,"Pabna Colony Gate 1"," House 222/3 A"," Malibagh Pabna Colony Road",Malibagh,1217
150203,"Pabna Colony Gate 1"," House 222/4"," Malibagh Pabna Colony Road ",Malibagh,1217
150205,"Pabna Colony Gate 1"," House 222/5"," Malibagh Pabna Colony Road ",Malibagh,1217
150206,"Pabna Colony Gate 2 "," House 222/14 A"," Malibagh Pabna Colony Road ",Malibagh,1217
150207,"Pabna Colony Gate 2"," House 222/14 B"," Malibagh Pabna Colony Road ",Malibagh,1217
150210,"Pabna Colony Gate 2"," House 222/14 "," Malibagh Pabna Colony Road ",Malibagh,1217
150211,"Pabna Colony Gate 2"," House 222/12"," Malibagh Pabna Colony Road ",Malibagh,1217
150212,"Pabna Colony Gate 2"," House 222/12 A"," Malibagh Pabna Colony Road ",Malibagh,1217
150213,"Pabna Colony Gate 2"," House 222/12 B"," Malibagh Pabna Colony Road ",Malibagh,1217
150214,"Rubia Villa "," House 421/C"," Malibagh Pabna Colony Road ",Malibagh,1217
150215,"Homeo Clinic"," House 421/C"," Malibagh Pabna Colony Road ",Malibagh,1217
150218,"Five Star Pre-Cadet & High School"," House 420/B"," Malibagh Pabna Colony Road "," Gulbagh",Malibagh,1217
157249,"New Siam Enterprise"," House 204"," Malibagh College Road",Malibagh,1217
157257,"Islam Store"," House 208 "," Malibagh College Road",Malibagh,1217
157261,"Munshi Villa"," House 208 "," Malibagh College Road",Malibagh,1217
157266,"Kohinur Manjil"," House 228/1"," Malibagh College Road",Malibagh,1217
157282,"Malibagh Sahi Masjid"," House N/a"," Malibagh College Road",Malibagh,1217
157290,Shapnil," House 209"," Malibagh College Road",Malibagh,1217
157301,Pollima," House 210"," Malibagh College Road",Malibagh,1217
157329,"A.s Treaders"," House 211"," Malibagh College Road",Malibagh,1217
157341,"Obhoy Pharmacy"," House 211 "," Malibagh College Road","Malibagh ",1217
157350,"Akota Nir"," House 211"," Malibagh College Road","Malibagh ",1217
157361,"Ambia Rose Garden"," House 211/1"," Malibagh College Road",Malibagh,1217
157370,"Sufi Lodge"," House 219"," Malibagh College Road",Malibagh,1217
157372,"Sufi Lodge"," House 220"," Malibagh College Road",Malibagh,1217
157375,N/a," House 213"," Malibagh College Road",Malibagh,1217
157377,"Mira Loy"," House 214"," Malibagh College Road",Malibagh,1217
157381,N/a," House 214/1"," Malibagh College Road",Malibagh,1217
157404,"Ashraf Uddin Khan"," House 226/1"," Malibagh College Road",Malibagh,1217
159507,"Social Islami Bank Limited"," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
159508,"Udoyon Kindergarten & Coaching"," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
159509,"Dr. Faruk-E-Azam"," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
159510,"Social Islami Bank Limited"," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
159511,"Ab Bank"," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
159512,"Ab Bank"," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
159513,"Global Study Consultancy"," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
159514,"Al-Arafah Islami Bank Limited"," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
159515,"Prime Dental"," House 72/1"," D.i.t Road"," Mouchak",Malibagh,1217
159516,"Property Rise"," House 72/1"," D.i.t Road"," Mouchak",Malibagh,1217
159517,"Dental Comfort"," House 72/1"," D.i.t Road"," Mouchak",Malibagh,1217
159518,"Dream Curt Saloon"," House 72/1"," D.i.t Road"," Mouchak",Malibagh,1217
159519,"One Bank"," House 72/1"," D.i.t Road"," Mouchak",Malibagh,1217
159520,"Dutch-Bangla Bank "," House 72/1"," D.i.t Road"," Mouchak",Malibagh,1217
159521,"Sahin Studio"," House 72/1"," D.i.t Road"," Mouchak",Malibagh,1217
159522,"Digonto Books & Stationary"," House 72/1"," D.i.t Road"," Mouchak",Malibagh,1217
159523,N/a," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
159524,"Beyond The Rack"," House N/a"," D.i.t Road"," Mouchak",Malibagh,1217
